warehouse,name, description, locationGroupType, pickable, storable, countable,trackingVolume, volumeTrackingPolicy, inventoryConsolidationStrategy,allowCartonization
WMOR,EACH_PICK,Each Picking Area - #1,Storage, true, true, true,true,BY_EACH,CONSOLIDATE_BY_INVENTORY,true
WMOR,CASE_PICK,Case Picking Area - #1,Storage, true, true, true,true,BY_VOLUME,CONSOLIDATE_BY_INVENTORY,false
WMOR,PALLET_PICK,Pallet Picking Area,Storage, true, true, true,true,BY_PALLET,CONSOLIDATE_BY_INVENTORY,false
WMOR,EACH_PICK_FRZ,Each Picking Area - Frozen,Storage, true, true, true,true,BY_EACH,CONSOLIDATE_BY_INVENTORY,true
WMOR,CASE_PICK_FRZ,Case Picking Area - Frozen,Storage, true, true, true,true,BY_VOLUME,CONSOLIDATE_BY_INVENTORY,false
WMOR,PALLET_PICK_FRZ,Pallet Picking Area - Frozen,Storage, true, true, true,true,BY_PALLET,CONSOLIDATE_BY_INVENTORY,false
WMOR,EACH_PICK_HV,Each Picking Area - High Value,Storage, true, true, true,true,BY_EACH,CONSOLIDATE_BY_INVENTORY,true
WMOR,CASE_PICK_HV,Case Picking Area - High Value,Storage, true, true, true,true,BY_VOLUME,CONSOLIDATE_BY_INVENTORY,false
WMOR,PALLET_PICK_HV,Pallet Picking Area - High Value,Storage, true, true, true,true,BY_PALLET,CONSOLIDATE_BY_INVENTORY,false
WMOR,EACH_PICK_OZ,Each Picking Area - Over Size,Storage, true, true, true,true,BY_EACH,CONSOLIDATE_BY_INVENTORY,true
WMOR,CASE_PICK_OZ,Case Picking Area - Over Size,Storage, true, true, true,true,BY_VOLUME,CONSOLIDATE_BY_INVENTORY,false
WMOR,PALLET_PICK_OZ,Pallet Picking Area - Over Size,Storage, true, true, true,true,BY_PALLET,CONSOLIDATE_BY_INVENTORY,false
WMOR,GRID-A,Grid Wall - A,Grid,false,false,false,false,,NONE,false
WMOR,GRID-B,Grid Wall - B,Grid,false,false,false,false,,NONE,false
WMOR,DAMAGED,Damaged Inventory Area,Damaged, true, true, true,false,,NONE,false
WMOR,RECV_STG,Receiving Stage,Receive_Stage, false, false, false,false,,NONE,false
WMOR,RECV_DCK,Receiving Dock,Receive_Dock, false, false, false,false,,NONE,false
WMOR,RECEIPT,Receipt,RECEIPT, false, false, false,false,,NONE,false
WMOR,SHIP_STG,Shipping Stage,Shipping_Stage, false, false, false,false,,NONE,false
WMOR,SHIP_DCK,Shipping Dock,Shipping_Dock, false, false, false,false,,NONE,false
WMOR,DISPATCHED,Dispatched Trailer,Dispatched, false, false, false,false,,NONE,false
WMOR,TRAILER,Trailer,Trailer, false, false, false,false,,NONE,false
WMOR,RF,RF locations,RF, false, false, false,false,,NONE,false
WMOR,YARD,Yard for parking,Yard, false, false, false,false,,NONE,false
WMOR,P&D,Pickup and Deposit,PickupDeposit, false, false, false,false,,NONE,false
WMOR,Default_Removed_Inventory_Location,Default Location For Removed Inventory,Removed_Inventory, false, false, false,false,,NONE,false
WMOR,Audit_Count_Inventory_Location,Location For Inventory Removed By Audit Count,Removed_Inventory, false, false, false,false,,NONE,false
WMOR,Inventory_Adjustment_Location,Location For Inventory Removed By Audit Count,Removed_Inventory, false, false, false,false,,NONE,false
WMOR,Inventory_Receiving_Location,Location For Receiving inventory,Removed_Inventory, false, false, false,false,,NONE,false
WMOR,Container,Location Container like pick list and carton,Container, false, false, false,false,,NONE,false
